mission,id,star_id,label,period_days,duration_hours,depth_ppm,planet_radius_re,stellar_teff_k,stellar_logg_cgs,stellar_radius_rsun,mag_kepler,mag_tess,insolation_earth,eqt_k,snr_like,period_errw,duration_errw,depth_errw,prad_errw,teff_errw,logg_errw,srad_errw,insol_errw,eqt_errw,period_days__missing,duration_hours__missing,depth_ppm__missing,planet_radius_re__missing,stellar_teff_k__missing,stellar_logg_cgs__missing,stellar_radius_rsun__missing,mag_kepler__missing,mag_tess__missing,insolation_earth__missing,eqt_k__missing,snr_like__missing,period_errw__missing,duration_errw__missing,depth_errw__missing,prad_errw__missing,teff_errw__missing,logg_errw__missing,srad_errw__missing,insol_errw__missing,eqt_errw__missing,log_period,log_duration_h,log_depth_ppm,duty_cycle,depth_per_hour,star_multiplicity,depth_ppm__rank_in_star,snr_like__rank_in_star,period_days__rank_in_star,star_depth_mean,star_depth_std,star_depth_cv,depth_over_radii_model,snr_proxy,eqt_over_teff,log_depth_over_radii_model,log_snr_proxy
,96097215,96097215,False Positive,1.60245,0.312,890.0,4.69411,5648.0,0.0,0.98,0.0,10.5656,55.2437,759.0,0.0,0.0005,0.39,352.81,2.96576,431.6,0.0,0.16,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.956453309026559,0.2715526905218973,6.792344427470809,0.008112577615526226,2852.5641025641025,1,1.0,1.0,1.0,890.0,0.0,0.0,0.4615237339204783,2.52260423457385,0.13438385269121814,0.3794795448628808,1.2592005554313437
,11773022,11773022,Candidate,85.3162004,2.7441,1902.6,6.34,6046.0,4.486,0.972,14.669,0.0,7.57,423.0,32.6,0.0004566,0.1996,135.8,2.61,360.0,0.273,0.4,9.08,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.458017302372179,1.3201812676603653,7.551502109246956,0.0013401616511745172,693.3420793702853,3,3.0,3.0,2.0,6560.766666666666,4843.805615766732,0.7382987174923763,0.5320591459667358,14.010309278350514,0.06996361230565663,0.42661267760106286,2.7087372502532485
,348995212,348995212,Candidate,0.3456911,0.648,2800.0,10.1929,6282.0,4.3,1.05,0.0,11.5547,18378.3,3243.0,0.0,2e-07,0.05,540.642,3.9094,12885.6,4.0,0.1,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.29690771008516925,0.49956243148727997,7.937731775260109,0.07810441171323186,4320.9876543209875,1,1.0,1.0,1.0,2800.0,0.0,0.0,0.35350821372394,5.179027896463833,0.5162368672397326,0.3026998985605953,1.8211609607901003
,341272282,341272282,False Positive,0.8133123,1.079,310.0,4.37963,8265.0,0.0,2.12,0.0,11.0418,6736.59,0.0,0.0,8.6e-06,0.43,2.99774,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5951551728677636,0.7318870088758759,5.739792912179234,0.05527806887137122,287.30305838739577,1,1.0,1.0,1.0,310.0,0.0,0.0,0.8642054051048856,103.4112364648035,0.0,0.6228349060640002,4.648337298630169
,5115688,5115688,Candidate,486.77832,15.29,370.8,9.3,5039.0,3.295,4.95,13.892,0.0,6.6,409.0,10.4,0.0394,2.6,77.4,2.9299999999999997,234.0,0.064,1.558,4.74,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.189861040349692,2.790551422613954,5.918356075287344,0.001308775077191879,24.251144538914325,1,1.0,1.0,1.0,370.8,0.0,0.0,1.2498060790419696,4.790697674418604,0.08116689819408612,0.8108440254095499,1.7562527807711452
,10285631,10285631,Candidate,10.52286678,1.911,130.2,23.26,5548.0,4.038,1.614,13.497,0.0,243.72,1008.0,10.1,0.00013062,0.58,34.0,9.15,110.0,0.3,0.635,220.78,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4443334767396707,1.0684966647634861,4.876722876509988,0.007566854324463852,68.13186813186813,2,2.0,2.0,1.0,255.85,177.6959341121794,0.6945316947906172,0.007458595086319576,3.829411764705882,0.18168709444844988,0.007430917305692404,1.5747246724021664
,K2-223:K2-223 c,K2-223,Planet,4.564169,0.0,0.0,1.6195921,5859.0,4.54,1.013236,0.0,0.0,0.0,0.0,0.0,0.000581,0.0,0.0,0.22911087,100.0,0.2,0.09006600000000001,0.0,0.0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1.7163476474316965,9.999995000003334e-07,9.999999995e-10,9.12908059860769e-09,0.001,6,3.5,3.5,6.0,0.0,0.0,0.0,4.656593532135656e-12,0.0,0.0,9.999999995e-10,9.999999995e-10
,2621212,2621212,Planet,0.0,3.0241239,2116.7296698,3.1705392,4550.0,4.60155,0.701485,0.0,11.2309,32.5788648,609.3316493,0.0,0.0,0.699214,573.93152,2.3313474,251.376,0.1982856,0.110171,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.999995000003334e-07,1.3923072225818771,7.658099883360021,1.0,699.9480642310984,1,1.0,1.0,1.0,2116.7296698,0.0,0.0,1.2328048301533852,3.688122356130571,0.1339190438021978,0.8032585665094848,1.54503215179132
,291580615,291580615,Candidate,3.6014534,3.747,10790.0,0.0,0.0,0.0,0.0,0.0,12.097,0.0,0.0,0.0,1.54e-05,0.478,4.86698,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1.526372210113038,1.5575128395691809,9.286467732363734,0.04335055397357078,2879.6370429677077,1,1.0,1.0,1.0,10790.0,0.0,0.0,128.37482104304,2216.980550567292,0.0,4.862713780776474,7.704352398966226
,256561562,256561562,Candidate,1.8951273,3.518,2130.0,10.1981,6818.0,3.89,2.28,0.0,12.9392,5318.45,2379.0,0.0,1.46e-05,0.586,2.60472,1.102312,258.4,0.18,0.22,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.063029082424351,1.5080694180458114,7.664346632098617,0.07734748654263665,605.4576463899944,1,1.0,1.0,1.0,2130.0,0.0,0.0,1.266686586033097,817.7462452778034,0.34892930478146084,0.8183191114311155,6.707774201018706
