mission,id,star_id,label,period_days,duration_hours,depth_ppm,planet_radius_re,stellar_teff_k,stellar_logg_cgs,stellar_radius_rsun,mag_kepler,mag_tess,insolation_earth,eqt_k,snr_like,period_errw,duration_errw,depth_errw,prad_errw,teff_errw,logg_errw,srad_errw,insol_errw,eqt_errw,period_days__missing,duration_hours__missing,depth_ppm__missing,planet_radius_re__missing,stellar_teff_k__missing,stellar_logg_cgs__missing,stellar_radius_rsun__missing,mag_kepler__missing,mag_tess__missing,insolation_earth__missing,eqt_k__missing,snr_like__missing,period_errw__missing,duration_errw__missing,depth_errw__missing,prad_errw__missing,teff_errw__missing,logg_errw__missing,srad_errw__missing,insol_errw__missing,eqt_errw__missing,log_period,log_duration_h,log_depth_ppm,duty_cycle,depth_per_hour,star_multiplicity,depth_ppm__rank_in_star,snr_like__rank_in_star,period_days__rank_in_star,star_depth_mean,star_depth_std,star_depth_cv,depth_over_radii_model,snr_proxy,eqt_over_teff,log_depth_over_radii_model,log_snr_proxy
TESS,96097215,96097215,False Positive,1.60245,0.312,890.0,4.69411,5648.0,0.0,0.98,0.0,10.5656,55.2437,759.0,0.0,0.0005,0.39,352.81,2.96576,431.6,0.0,0.16,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.956453309026559,0.2715526905218973,6.792344427470809,0.0081125776155262,2852.5641025641025,1,1.0,1.0,1.0,890.0,0.0,0.0,0.4615237339204783,2.52260423457385,0.1343838526912181,0.3794795448628808,1.2592005554313437
Kepler,11773022,11773022,Candidate,85.3162004,2.7441,1902.6,6.34,6046.0,4.486,0.972,14.669,0.0,7.57,423.0,32.6,0.0004566,0.1996,135.8,2.61,360.0,0.273,0.4,9.08,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.458017302372179,1.3201812676603653,7.551502109246956,0.0013401616511745,693.3420793702853,3,3.0,3.0,2.0,6560.766666666666,4843.805615766732,0.7382987174923763,0.5320591459667358,14.010309278350514,0.0699636123056566,0.4266126776010628,2.7087372502532485
TESS,348995212,348995212,Candidate,0.3456911,0.648,2800.0,10.1929,6282.0,4.3,1.05,0.0,11.5547,18378.3,3243.0,0.0,2e-07,0.05,540.642,3.9094,12885.6,4.0,0.1,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2969077100851692,0.4995624314872799,7.937731775260109,0.0781044117132318,4320.987654320988,1,1.0,1.0,1.0,2800.0,0.0,0.0,0.35350821372394,5.179027896463833,0.5162368672397326,0.3026998985605953,1.8211609607901005
TESS,341272282,341272282,False Positive,0.8133123,1.079,310.0,4.37963,8265.0,0.0,2.12,0.0,11.0418,6736.59,0.0,0.0,8.6e-06,0.43,2.99774,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5951551728677636,0.7318870088758759,5.739792912179234,0.0552780688713712,287.30305838739577,1,1.0,1.0,1.0,310.0,0.0,0.0,0.8642054051048856,103.4112364648035,0.0,0.6228349060640002,4.648337298630169
Kepler,5115688,5115688,Candidate,486.77832,15.29,370.8,9.3,5039.0,3.295,4.95,13.892,0.0,6.6,409.0,10.4,0.0394,2.6,77.4,2.93,234.0,0.064,1.558,4.74,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.189861040349692,2.790551422613954,5.918356075287344,0.0013087750771918,24.251144538914325,1,1.0,1.0,1.0,370.8,0.0,0.0,1.2498060790419696,4.790697674418604,0.0811668981940861,0.8108440254095499,1.7562527807711452
Kepler,10285631,10285631,Candidate,10.52286678,1.911,130.2,23.26,5548.0,4.038,1.614,13.497,0.0,243.72,1008.0,10.1,0.00013062,0.58,34.0,9.15,110.0,0.3,0.635,220.78,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4443334767396707,1.068496664763486,4.876722876509988,0.0075668543244638,68.13186813186813,2,2.0,2.0,1.0,255.85,177.6959341121794,0.6945316947906172,0.0074585950863195,3.829411764705882,0.1816870944484498,0.0074309173056924,1.5747246724021664
TESS,K2-223:K2-223 c,K2-223,Planet,4.564169,0.0,0.0,1.6195921,5859.0,4.54,1.013236,0.0,0.0,0.0,0.0,0.0,0.000581,0.0,0.0,0.22911087,100.0,0.2,0.090066,0.0,0.0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1.7163476474316963,9.999995000003334e-07,9.999999995e-10,9.12908059860769e-09,0.001,6,3.5,3.5,6.0,0.0,0.0,0.0,4.656593532135656e-12,0.0,0.0,9.999999995e-10,9.999999995e-10
TESS,2621212,2621212,Planet,0.0,3.0241239,2116.7296698,3.1705392,4550.0,4.60155,0.701485,0.0,11.2309,32.5788648,609.3316493,0.0,0.0,0.699214,573.93152,2.3313474,251.376,0.1982856,0.110171,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.999995000003334e-07,1.3923072225818771,7.658099883360021,1.0,699.9480642310984,1,1.0,1.0,1.0,2116.7296698,0.0,0.0,1.2328048301533852,3.688122356130571,0.1339190438021978,0.8032585665094848,1.54503215179132
K2,291580615,291580615,Candidate,3.6014534,3.747,10790.0,0.0,0.0,0.0,0.0,0.0,12.097,0.0,0.0,0.0,1.54e-05,0.478,4.86698,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1.526372210113038,1.5575128395691809,9.286467732363734,0.0433505539735707,2879.637042967708,1,1.0,1.0,1.0,10790.0,0.0,0.0,128.37482104304,2216.980550567292,0.0,4.862713780776474,7.704352398966226
K2,256561562,256561562,Candidate,1.8951273,3.518,2130.0,10.1981,6818.0,3.89,2.28,0.0,12.9392,5318.45,2379.0,0.0,1.46e-05,0.586,2.60472,1.102312,258.4,0.18,0.22,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.063029082424351,1.5080694180458114,7.664346632098617,0.0773474865426366,605.4576463899944,1,1.0,1.0,1.0,2130.0,0.0,0.0,1.266686586033097,817.7462452778034,0.3489293047814608,0.8183191114311155,6.707774201018706
Kepler,5698524,5698524,False Positive,228.196872,3.525,145.3,1.42,6425.0,4.331,1.138,13.061,0.0,3.66,353.0,6.9,0.009834,0.822,46.6,0.8,363.0,0.375,0.643,5.83,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.434581337277998,1.5096175771518894,4.985659308026079,0.0006436328364746,41.21985815602837,1,1.0,1.0,1.0,145.3,0.0,0.0,1.1102783112324142,3.118025751072961,0.0549416342412451,0.7468198398478116,1.415373861882054
Kepler,5193386,5193386,False Positive,21.37831102,21.7174,80571.0,97.23,4905.0,3.3,3.484,13.998,0.0,300.32,1062.0,852.2,2.882e-05,0.088,226.0,39.05,117.0,0.3,1.399,291.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.10809223176066,3.1231311506848627,11.296906473598314,0.0423275564575758,3709.974490500704,1,1.0,1.0,1.0,80571.0,0.0,0.0,1.2308152867685185,356.5088495575221,0.2165137614678899,0.8023671181045999,5.8791601158347415
K2,239372503,239372503,False Positive,0.8560277,1.587,247.0,3.15801,11798.0,4.18,2.38,0.0,8.716291,46825.3,0.0,0.0,8.8e-06,0.232,20.4748,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.618438558821604,0.950498903203892,5.513428746164983,0.0772463320988327,155.63957151858853,1,1.0,1.0,1.0,247.0,0.0,0.0,1.6690996731765004,12.063609900951414,0.0,0.9817412144896074,2.5698304946093
Kepler,5471606,5471606,False Positive,0.962835804,4.9844,14328.0,458.02,3982.0,1.464,32.244,10.82,0.0,602806.92,7100.0,209.2,1.354e-06,0.091,189.6,298.7,253.0,0.52,21.03,1051380.19,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6743902663551969,1.78915608335794,9.570040734716605,0.2156996369168395,2874.568654201108,1,1.0,1.0,1.0,14328.0,0.0,0.0,0.8448369878649987,75.56962025316456,1.783023606228026,0.6123909201283882,4.338200395639893
Kepler,4165960,4165960,False Positive,6.77449545,2.5416,481.9,29.41,6517.0,4.265,1.342,13.889,0.0,521.03,1219.0,41.9,2.368e-05,0.1558,27.4,8.59,155.0,0.2,0.392,365.64,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0508485620689227,1.264578602435794,6.179809592879496,0.0156321604732939,189.6049732451999,1,1.0,1.0,1.0,481.9,0.0,0.0,0.0119379653897287,17.587591240875913,0.1870492557925425,0.0118672699644048,2.9224942204965343
Kepler,10991431,10991431,Candidate,322.221973,7.531,465.6,2.18,6026.0,4.437,1.006,14.718,0.0,1.4,277.0,8.9,0.017412,1.494,128.4,1.12,364.0,0.346,0.517,2.11,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.778339310103339,2.143706587926557,6.1454723595873295,0.000973836960109,61.82445890320011,1,1.0,1.0,1.0,465.6,0.0,0.0,1.179653206102068,3.6261682242990654,0.0459674742781281,0.7791657843767755,1.531728928106784
TESS,367434266,367434266,Candidate,22.0632969,2.2329319,4597.497672,10.1729473,5762.0,4.44,1.0093499,0.0,10.6275,41.5500612,647.5341338,0.0,0.0003152,0.3232676,622.04534,17.496892,256.2,0.16,0.1092964,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.138242475133312,1.173389434494227,8.433484936090586,0.0042169050975634,2058.9511359482126,1,1.0,1.0,1.0,4597.497672,0.0,0.0,0.5384803053343907,7.390936602788472,0.1123800995834779,0.4307951144854075,2.1271521474772515
Kepler,9958387,9958387,Candidate,237.787237,10.509,1627.7,9.91,5185.0,3.936,1.853,13.46,0.0,3.73,354.0,92.3,0.0017054,0.332,60.4,6.12,163.0,0.52,1.144,4.49,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.475572933691478,2.443129337986354,7.395537429579515,0.0018414571173977,154.88628794366733,1,1.0,1.0,1.0,1627.7,0.0,0.0,0.6770742536191389,26.948675496688743,0.0682738669238187,0.5170507595108986,3.330369810166574
Kepler,11709022,11709022,False Positive,0.71957289,1.79,0.0,0.0,0.0,0.0,0.0,12.902,0.0,145.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.22,0.0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.5420759402214614,1.0260415958332745,9.999999995e-10,0.1036494486796651,5.58659217877095e-10,1,1.0,1.0,1.0,0.0,0.0,0.0,1.1897573776e-11,0.0,0.0,9.999999995e-10,9.999999995e-10
TESS,TRAPPIST-1:TRAPPIST-1 d,TRAPPIST-1,Planet,4.04978035,0.0,0.0,0.0,2520.0,0.0,0.1234,0.0,0.0,1.114,286.2,0.0,5.32e-06,0.0,0.0,0.0,78.0,0.0,0.0066,0.086,5.6,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1.6193447472918263,9.999995000003334e-07,9.999999995e-10,1.0288623842689805e-08,0.001,39,20.0,20.0,24.0,0.0,0.0,0.0,0.1811710185284665,0.0,0.1135714285714285,0.1665063349690067,9.999999995e-10
K2,EPIC 204308061:EPIC 204308061.01,EPIC 204308061,Candidate,22.6398,0.0,0.0,1.27,0.0,0.0,0.862,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.32,0.0,0.0,0.139,0.0,0.0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,3.162931732265223,9.999995000003334e-07,9.999999995e-10,1.8404167292408354e-09,0.001,1,1.0,1.0,1.0,0.0,0.0,0.0,5.481071863608496e-12,0.0,0.0,9.999999995e-10,9.999999995e-10
K2,EPIC 220201207:EPIC 220201207.01,EPIC 220201207,Candidate,0.4378443,0.0,0.0,41.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,4.8e-06,0.0,0.0,39.0,0.0,0.0,1.14,0.0,0.0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0.3631449780541769,9.999995000003334e-07,9.999999995e-10,9.516320451509057e-08,0.001,1,1.0,1.0,1.0,0.0,0.0,0.0,1.196127286224866e-14,0.0,0.0,9.999999995e-10,9.999999995e-10
Kepler,3228945,3228945,False Positive,0.730943372,3.004,134.7,1.37,6143.0,4.418,1.067,15.021,0.0,5461.14,2190.0,27.0,8.366e-06,0.234,12.2,0.64,450.0,0.289,0.5,7500.370000000001,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5486665616208282,1.3872938614529742,4.910446566840824,0.1712398955396324,44.84021304926764,1,1.0,1.0,1.0,134.7,0.0,0.0,0.9721061859867348,11.040983606557376,0.3565033371316946,0.679102101580011,2.488316131440621
Kepler,2438502,2438502,False Positive,8.360616221,7.5385,28066.0,40.35,5463.0,3.79,2.445,16.209,0.0,601.6,1263.0,425.6,8.86e-06,0.0628,152.4,20.81,163.0,0.323,1.261,635.12,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2365111238993576,2.1445853483451565,10.242349787976345,0.0375694994679587,3723.0218213172384,1,1.0,1.0,1.0,28066.0,0.0,0.0,1.2260539368461505,184.16010498687663,0.2311916529379462,0.8002304829489082,5.221220883169155
K2,206284139,206284139,Planet,3.0026215,3.595,5040.0,14.0672,5630.0,4.11,1.45,0.0,12.1112,4289.27,2254.0,0.0,3.72e-05,0.332,282.052,4.05188,210.2,0.14,0.14,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.3869495214554806,1.5249687558076503,8.525359754082631,0.0498869626646804,1401.9471488178024,1,1.0,1.0,1.0,5040.0,0.0,0.0,0.6371029606579274,17.86904542424801,0.4003552397868561,0.4929281923536645,2.937522771150605
Kepler,9602595,9602595,False Positive,3.55650976,12.7364,687450.0,283.93,8105.0,3.937,2.433,11.882,0.0,7238.22,2353.0,3867.7,5.54e-07,0.01588,412.0,142.6,566.0,0.38,1.222,8405.41,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5165569269467027,2.620049243730294,13.44074583325557,0.1492146427663208,53975.22062749285,1,1.0,1.0,1.0,687450.0,0.0,0.0,0.6005666002445881,1668.5679611650485,0.2903146206045651,0.4703576917110902,7.420320166051467
Kepler,9899577,9899577,False Positive,1.33258981,3.987,78.4,0.67,5309.0,4.595,0.763,14.818,0.0,832.33,1369.0,16.1,2.992e-05,0.616,11.8,0.16,302.0,0.136,0.188,637.38,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8469791567494512,1.6068345265639856,4.37449836825309,0.124663267536167,19.66390770002508,1,1.0,1.0,1.0,78.4,0.0,0.0,1.209689579870464,6.6440677966101696,0.2578640045206253,0.7928520440669323,2.033929895596959
Kepler,8300828,8300828,False Positive,48.9200563,2.295,333.9,1.71,5375.0,4.433,0.899,14.981,0.0,10.22,456.0,7.0,0.0011816,0.9,126.8,1.32,328.0,0.521,0.697,24.61,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.910422851865024,1.1924061679544706,5.813831979800159,0.0019547197454881,145.49019607843135,1,1.0,1.0,1.0,333.9,0.0,0.0,1.097999110390279,2.633280757097792,0.0848372093023255,0.7409840859465032,1.2901360299387457
Kepler,6891366,6891366,False Positive,1.752564549,3.503,116.6,1.38,6221.0,4.333,1.18,13.608,0.0,2174.09,1741.0,38.0,1.5008e-05,1.644,14.6,0.65,390.0,0.32,0.56,2907.95,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0125330403842314,1.5047438413194347,4.767289035464526,0.0832827147032136,33.285755067085354,1,1.0,1.0,1.0,116.6,0.0,0.0,1.0142915297295212,7.986301369863013,0.2798585436425012,0.7002675354244039,2.1957013477956977
